segment_id,s_center,centerline_x,centerline_y,psi_center,kappa_signed_centerline,kappa_abs_centerline,width,d_left,d_right,left_proj_x,left_proj_y,right_proj_x,right_proj_y,left_bd_idx,right_bd_idx,mean_curvature_30,max_curvature_30,straight_indicator_30,compound_indicator_30,accum_heading_change_30
20,16.46096652517691,-60.142687103467765,29.3704765807322,-1.252878330324825,-0.006955574927555392,0.006955574927555392,1.5509417874430649,0.7651815475435566,0.7857602398995082,-60.854190015996465,29.084692049515247,-59.38119289329062,29.570181925315374,69,1932,0.017587096997523165,0.10349763233714775,0.13333333333333333,0.11666666666666667,0.43425092242690244
21,17.284014851435757,-59.88842879723756,28.587752572748443,-1.2604953210028393,0.006136127771105918,0.006136127771105918,0.9188085314707396,0.09918610630074842,0.8196224251699912,-58.1385766564694,23.45554266180452,-59.076553105523544,28.740106440250397,95,1928,0.017476466246869337,0.10349763233714775,0.13333333333333333,0.11666666666666667,0.4315192888021507
22,18.107063177694602,-59.64012085442409,27.803186791036296,-1.2427776709413867,0.03314983029785232,0.03314983029785232,0.8169243951626315,0.02081402389178666,0.7961103712708448,-58.1385766564694,23.45554266180452,-58.8534577472707,27.96270033627247,95,1925,0.017339768716170722,0.10349763233714775,0.13333333333333333,0.11666666666666667,0.4281440285867943
23,18.930111503953448,-59.358272521139135,27.02990154975597,-1.205927496318015,0.0595808848487326,0.0595808848487326,0.7953282573295186,0.029734760259034765,0.7655934970704839,-57.81150123418788,23.0637936001786,-58.630891029956224,27.271181411312167,97,1922,0.01630593332152884,0.10349763233714775,0.13333333333333333,0.1,0.4026171338511796
24,19.753159830212294,-59.05293110561221,26.265927140639587,-1.144701775837846,0.08870584962028644,0.08870584962028644,0.806590763175873,0.03284876337143672,0.7737419998044363,-57.301545954744384,22.486898247604195,-58.35566281585627,26.60179138779811,100,1919,0.014352708801302995,0.10349763233714775,0.13333333333333333,0.08333333333333333,0.354389188685791
25,20.57620815647114,-58.6789789854447,25.533339068093188,-1.0599090941993239,0.10349763233714775,0.10349763233714775,0.7805305744045541,0.013659838240708044,0.766870736163846,-56.26203540722531,21.24934111053843,-58.03442151612643,25.951818591711927,106,1916,0.011562716700277352,0.10349763233714775,0.13333333333333333,0.06666666666666667,0.28550023881505426
26,21.399256482729985,-58.24913747606344,24.83192351437883,-0.9743346697041603,0.09840956284776965,0.09840956284776965,0.7670771063916068,0.010478183626438264,0.7565989227651685,-60.639962341729714,28.37190825289455,-57.66776134325595,25.322578369351923,72,1913,0.008504348831519116,0.09840956284776965,0.13333333333333333,0.05,0.20998470215109533
27,22.22230480898883,-57.75584464653195,24.17369890371195,-0.8979174422198809,0.06737811024792696,0.06737811024792696,0.8033350782642286,0.0319109677198699,0.7714241105443587,-60.31492053030467,27.43598468604448,-57.163413075354214,24.66809027532091,76,1910,0.006286383509970114,0.06737811024792696,0.13333333333333333,0.3,0.1552199227830633
28,23.045353135247677,-57.22408376163041,23.545703887695407,-0.8634237879720797,0.023651978639167286,0.023651978639167286,0.8606336893073248,0.07221612429011026,0.7884175650172145,-60.250183340468766,27.19625365669798,-56.665467349896744,24.105579392454917,77,1907,0.0070540481965189325,0.0904080508443915,0.13333333333333333,0.3,0.17417467684482407
29,23.868401461506522,-56.68633734782413,22.922769789897423,-0.8589839993565277,0.004524731350386961,0.004524731350386961,0.8627623119327741,0.09299960664727847,0.7697627052854956,-60.250183340468766,27.19625365669798,-56.02981801372885,23.34018695947591,77,1903,0.011714234233945254,0.16345755976195697,0.13333333333333333,0.05,0.2892414263895814
