segment_id,mean_curvature_30,max_curvature_30,straight_indicator_30,compound_indicator_30,accum_heading_change_30
59,0.23220553490535173,0.4843742529757974,0.0,0.5172413793103449,5.73349130555669
60,0.23217393993891547,0.4843742529757974,0.0,0.5172413793103449,5.732711180029383
61,0.23404443196052915,0.4843742529757974,0.0,0.5172413793103449,5.778896339859474
62,0.2379661892824578,0.4843742529757974,0.0,0.5172413793103449,5.875730213853675
63,0.24326331541774354,0.4843742529757974,0.0,0.5172413793103449,6.006523937842541
64,0.24782265809485302,0.4843742529757974,0.0,0.5172413793103449,6.119100718619606
65,0.2504804615439478,0.4843742529757974,0.0,0.5172413793103449,6.184725739028683
66,0.2523980294467941,0.4843742529757974,0.0,0.5172413793103449,6.232073270616441
67,0.25417491761922767,0.4843742529757974,0.0,0.5172413793103449,6.275947215704557
68,0.2552606627066871,0.4843742529757974,0.0,0.5172413793103449,6.302755836013875
69,0.25438704285368735,0.4843742529757974,0.0,0.5172413793103449,6.281184895279938
70,0.24854790381413355,0.4843742529757974,0.0,0.5172413793103449,6.137008086881014
71,0.23880688245516785,0.4843742529757974,0.0,0.5172413793103449,5.896488147114563
72,0.23036541475652855,0.4843742529757974,0.0,0.5172413793103449,5.6880560712985675
73,0.22472719023847437,0.4843742529757974,0.0,0.5172413793103449,5.548840133718884
74,0.22156050479776784,0.4843742529757974,0.0,0.5172413793103449,5.470650079166032
75,0.21689658194923703,0.4843742529757974,0.0,0.5172413793103449,5.3554910623375225
76,0.20732047260820724,0.4843742529757974,0.0,0.5172413793103449,5.119043039381333
77,0.19723169745009672,0.39216928943655327,0.0,0.5172413793103449,4.869936554144793
78,0.18982533338233173,0.39216928943655327,0.0,0.5172413793103449,4.687062687655665
79,0.184605917349338,0.39216928943655327,0.0,0.5172413793103449,4.558187738755543
80,0.18233323460995665,0.39216928943655327,0.0,0.5172413793103449,4.502071907012587
81,0.18488656221332286,0.39216928943655327,0.0,0.5,4.56511726732282
82,0.18378899482601804,0.39216928943655327,0.0,0.5,4.538016737290494
83,0.17842271771694432,0.39216928943655327,0.0,0.5,4.405515575504566
84,0.16999777244781134,0.39216928943655327,0.0,0.5,4.197491462427096
85,0.15985474323617976,0.33870338854629434,0.0,0.5,3.9470453659522575
86,0.1516673034724846,0.2704587034997688,0.0,0.5,3.7448856081366246
87,0.1464176286075002,0.2704587034997688,0.0,0.5,3.615263524805769
88,0.14268126644560003,0.2704587034997688,0.0,0.5,3.523007326096305
89,0.1393928351722387,0.2704587034997688,0.0,0.5,3.4418111904295863
90,0.13566963281994018,0.2704587034997688,0.0,0.5,3.3498799264981183
91,0.13055621873557335,0.2704587034997688,0.0,0.5,3.2236223193899223
92,0.12336025721031638,0.2704587034997688,0.0,0.48333333333333334,3.045943596714348
93,0.11451857114491791,0.2510229112521169,0.0,0.4666666666666667,2.8276295491913768
94,0.1063198684557921,0.190745803533172,0.0,0.45,2.6251916934180097
95,0.10004847703050457,0.18171099823248202,0.0,0.43333333333333335,2.4703419469411
96,0.09429748126285357,0.18171099823248202,0.0,0.4166666666666667,2.3283415237144944
97,0.08855923163230887,0.18171099823248202,0.03333333333333333,0.4,2.186655821092237
98,0.08384811338628947,0.18171099823248202,0.06666666666666667,0.38333333333333336,2.070331481476424
99,0.08018552127393373,0.18171099823248202,0.1,0.36666666666666664,1.9798967722411265
100,0.07702963258234556,0.18171099823248202,0.13333333333333333,0.35,1.9019733050770007
101,0.07382766259821334,0.18171099823248202,0.13333333333333333,0.3333333333333333,1.8229120239918681
102,0.07060194824030126,0.18171099823248202,0.13333333333333333,0.31666666666666665,1.7432644598938078
103,0.06736538174500353,0.18171099823248202,0.13333333333333333,0.3,1.6633489407904
104,0.06335378449428913,0.18171099823248202,0.13333333333333333,0.2833333333333333,1.5642967887056485
105,0.05863431176429392,0.18171099823248202,0.13333333333333333,0.26666666666666666,1.4477661647682438
106,0.05300773205592222,0.18171099823248202,0.13333333333333333,0.25,1.3088377544221241
107,0.04700126994525567,0.12829527648666486,0.13333333333333333,0.23333333333333334,1.1605294968144861
108,0.04278140917363529,0.12377836088632863,0.13333333333333333,0.21666666666666667,1.0563350164606609
109,0.039874248307146,0.12377836088632863,0.13333333333333333,0.2,0.9845529999007835
110,0.03624421244019438,0.12377836088632863,0.13333333333333333,0.18333333333333332,0.8949221515641603
111,0.03226948261498957,0.11383554438567892,0.13333333333333333,0.16666666666666666,0.7967803096651827
112,0.028474964468800944,0.1081727647757991,0.13333333333333333,0.15,0.7030881553898015
113,0.024869205642941466,0.10149130524031028,0.13333333333333333,0.13333333333333333,0.6140567423943004
114,0.02193058082607693,0.10149130524031028,0.13333333333333333,0.11666666666666667,0.5414978352836085
115,0.01911579018278997,0.10149130524031028,0.13333333333333333,0.1,0.47199657345181684
116,0.016184856941560435,0.10149130524031028,0.13333333333333333,0.08333333333333333,0.39962758249470526
117,0.012921059476587072,0.10149130524031028,0.13333333333333333,0.06666666666666667,0.3190396912708796
118,0.009623879243823706,0.08538318196608033,0.13333333333333333,0.05,0.23762753111239032
119,0.006805448451976116,0.06308302296173075,0.13333333333333333,0.03333333333333333,0.16803638873519378
