segment_id,s,ds,x,y,kappa,delta_kappa,width,d_left,d_right,delta_psi,psi,left_proj_x,left_proj_y,right_proj_x,right_proj_y,left_bd_idx,right_bd_idx
480,370.46415129655253,0.7753857860575408,-49.194926719004116,-8.522271516953944,-0.21049884055298027,0.06322275943671543,2.3805022329006587,1.0562473184660497,1.324254914434609,0.07429926667098077,5.938365056419237,-0.1839960514689301,29.638157965405988,1.9514307152262451,28.58613473210118,4243,4214
481,371.23953708261007,0.8059438878980814,-48.45934441856815,-8.763845944397893,-0.13354459214234868,0.09878361734853149,2.3787223456118745,1.161739072901248,1.2169832727106265,0.06091153115522012,5.990404058090763,-0.6279975024600104,29.120107840037328,1.330473445586709,27.77002746246163,4250,4225
482,372.04548097050815,0.830821724107011,-47.68261575889659,-8.97814893017022,-0.05234506348328143,0.07143057384501589,2.314241007955486,1.1603933353876132,1.1538476725678726,0.05131933191569811,6.034686268121059,-1.0415874217906125,28.58541659508432,0.7668726228232446,27.14137663969816,4257,4234
483,372.87630269461516,0.8472976639322951,-46.87732505037685,-9.165273407714425,-0.01918337157693025,0.013833901288826944,2.353906356607754,1.1931014626469445,1.1608048939608093,0.04644693773503044,6.074401775801453,-1.555416722504825,28.006537294370094,0.2430928385400446,26.48749685541497,4265,4243
484,373.72360035854746,0.854117334255136,-46.03908879079616,-9.326364699777095,-0.03019681867141073,-0.03313926040270022,2.3487451932724257,1.1760559810721403,1.1726892122002854,0.0451352775342484,6.112629774849268,-2.0313417340603332,27.40051228281459,-0.2783306797439235,25.835973337131,4273,4252
485,374.5777176928026,0.8536671709135248,-45.201101613073476,-9.453967322735647,-0.07223973195996544,-0.08351429572693599,2.346293197605678,1.1409911145333638,1.205302083072314,0.044837482281967586,6.151195613945576,-2.5084268908437255,26.79332712603121,-0.8015874845937271,25.18261653228119,4281,4261
486,375.4313848637161,0.8489525358688752,-44.34739895516691,-9.550956062434224,-0.16390422545658132,-0.15701202273796766,2.344857845460754,1.1180863867700253,1.2267714586907286,0.04557836363953966,6.189202532341187,-3.022256191557938,26.214447825316984,-1.3666537916143424,24.552500225260584,4289,4270
487,376.280337399585,0.8430655079476992,-43.50119769622084,-9.614201056645658,-0.3236178967598008,-0.16019363709072504,2.346787883740259,1.0757081413161418,1.2710797424241174,0.04813865796704561,6.22879823408115,-3.444395042695232,25.80582328548496,-2.129455685893588,23.86140444010628,4295,4281
488,377.1234029075327,0.8384723111094559,-42.65530531557949,-9.643074928596823,-0.4203761936680936,-0.020669234936362187,2.3932876495850177,1.1782790036237574,1.2150086459612601,0.05126544842958869,6.270654010226543,-3.8149215190979655,25.713819330238415,-3.3170807025755784,23.372019330238416,4299,4295
489,377.96187521864215,0.8389595744210965,-41.81641390441124,-9.635314687835855,-0.3567095941694346,0.06267288177322496,2.3604999981945705,1.1760418576305682,1.1844581405640022,0.053370346425894784,6.315003024426428,-4.207209435308834,25.713819330238415,-4.512163711038997,23.372019330238416,4303,4308
490,378.80083479306325,0.8470810735433361,-40.97842540341942,-9.589702425623214,-0.32003614500084804,0.032388641953841044,2.372372516854598,1.1710555340448607,1.2013169828097374,0.052740825408488526,6.36017913106315,-4.7633238201712285,25.82874997984072,-5.50695554373598,23.57560715799926,4309,4319
491,379.6479158666066,0.8643116461643672,-40.13701296762651,-9.505755074737257,-0.3048549830846319,0.07443049244251133,2.3986021996650466,1.1096693848093224,1.2889328148557242,0.04846291321575179,6.403926199872335,-5.217231894216894,25.975758528241368,-6.61275610792745,24.024787043705867,4314,4332
492,380.51222751277095,0.8900890262939924,-39.281654875524566,-9.383831443089083,-0.20087201814559844,0.1016321551129561,2.3469231152529226,0.9242836224196185,1.4226394928333042,0.04075465571889536,6.443118207916414,-5.731061262914709,26.230695906516615,-7.441022096629373,24.62310674023129,4320,4343
493,381.40231653906494,0.9225830806884119,-38.40646445361839,-9.226599230123982,-0.14214066228651365,0.04844951828863996,2.425871764496824,1.0603823395715608,1.365489424925263,0.03138226447052314,6.475426195271374,-6.108766966950175,26.896316870283073,-8.050134067520357,25.4416236969882,4328,4354
494,382.32489961975335,0.9574898498237872,-37.50330157511122,-9.037684549614164,-0.12330374801917782,0.050174451507447114,2.3702850218991,1.1637258516275026,1.2065591702715972,0.02211348401730158,6.500003963376076,-6.385676151010824,27.51319508833244,-8.420031504565564,26.295943958507188,4335,4364
495,383.28238946957714,0.9890707845779048,-36.57051967494633,-8.822174824669576,-0.061810753023260175,0.07163756356808282,2.3532289433370224,1.1836924836167049,1.1695364597203173,0.0139065507485326,6.517001157971617,-6.665124790272301,28.130680650336068,-8.799124804587645,27.138780408088948,4342,4374
496,384.27146025415504,1.0140340940316719,-35.60995036958869,-8.586741251466073,-0.00861113438073043,0.04224935785195326,2.3736553373285503,1.190871926725988,1.1827834106025625,0.007866960766672105,6.527073907623479,-6.972533799306159,28.83696953419115,-9.15471415905199,27.902172047271115,4350,4383
497,385.2854943481867,1.032139583936555,-34.62702600917864,-8.338551733909567,0.005830984568515492,0.014457070365926491,2.352116026665327,1.171648223912395,1.1804678027529318,0.00443490176188474,6.532759505463168,-7.307027045162342,29.535244313098303,-9.454989135676216,28.576629525319245,4358,4391
498,386.3176339321233,1.0445162574518463,-33.6276265917801,-8.081469902121475,0.014534811729610887,0.018561937292310163,2.3574725203597438,1.1792323091924195,1.1782402111673242,0.0021323123023815568,6.536148486873023,-7.659323198813508,30.321146791340546,-9.79897860814489,29.331402128780827,4367,4400
499,387.3621501895751,1.0483887925469162,-32.61625400979116,-7.818765768567817,0.03554887272958709,0.02322096247518781,2.3590206177450517,1.1761007653855815,1.1829198523594704,-3.885994788748103e-06,6.537187584261573,-7.983431013257789,31.02046777316287,-10.110023872795049,29.999389400235422,4375,4408
500,388.41053898212203,1.0421985098315076,-31.601619135563,-7.555499061029374,0.05171185607378918,0.014495670991739673,2.3614618892330475,1.220125285223728,1.1413366040093196,-0.001577326960349115,6.536140353854905,-8.336804660171353,31.818065462766768,-10.408872366161814,30.684934399189913,4384,4416
501,389.45273749195354,1.0390382269532665,-30.592141824403278,-7.295548917981039,0.05875661891299183,0.01400621490639453,2.3468774288214616,1.2699949499450698,1.0768824788763918,-0.0024263390707457725,6.533890044546568,-8.7160256831178,32.6045682098406,-10.753438361118024,31.439369114210855,4393,4425
502,390.4917757189068,1.0390639998103666,-29.58521801343845,-7.039113368000029,0.07413597709054341,0.026800906141131786,2.358807927668713,1.306905281791945,1.0519026458767677,-0.002700508366190311,6.531090567844973,-9.143979828865527,33.35883061410334,-11.1283032759363,32.083287919538215,4402,4433
503,391.5308397187172,1.0416686549977499,-28.577502500380067,-6.785619941368229,0.10166519676103204,0.02878829025300108,2.331063229110519,1.2861910943789512,1.0448721347315677,-0.002393679776732563,6.528278112097394,-9.654801293005598,34.06086966715837,-11.544162308434675,32.69429695203658,4411,4441
