segment_id,left_x0,left_y0,left_x1,left_y1,right_x1,right_y1,right_x0,right_y0
129,40.648920225164225,-7.789785581562317,39.71169514627493,-6.332160502673021,37.618924628262945,-7.420513696732305,38.47960982593969,-8.74182352120024
130,39.71169514627493,-6.332160502673021,38.82742815174885,-4.958006845316211,36.72601245745226,-6.01167931529934,37.618924628262945,-7.420513696732305
131,38.82742815174885,-4.958006845316211,37.91074364780457,-3.492954628840728,35.86799660442108,-4.692432152072414,36.72601245745226,-6.01167931529934
132,37.91074364780457,-3.492954628840728,37.00345881525774,-2.1277741716558163,35.01168660876333,-3.372881072594184,35.86799660442108,-4.692432152072414
133,37.00345881525774,-2.1277741716558163,36.14110272742766,-0.7450180838257422,34.155771287453476,-2.049481950618043,35.01168660876333,-3.372881072594184
134,36.14110272742766,-0.7450180838257422,35.23245834075516,0.6191474951574113,33.25540330891443,-0.646937821511566,34.155771287453476,-2.049481950618043
135,35.23245834075516,0.6191474951574113,34.398342683228805,1.908441960373109,32.40039082087647,0.6761488813263694,33.25540330891443,-0.646937821511566
136,34.398342683228805,1.908441960373109,33.527826551025036,3.2913086739574484,31.560026985674806,2.0106162248692265,32.40039082087647,0.6761488813263694
137,33.527826551025036,3.2913086739574484,32.64870542471772,4.670000513422001,30.63774789195191,3.400239171152283,31.560026985674806,2.0106162248692265
138,32.64870542471772,4.670000513422001,31.811617802177835,5.9607666262694785,29.808173235668068,4.742261407933849,30.63774789195191,3.400239171152283
139,31.811617802177835,5.9607666262694785,30.923377770565267,7.334906873036642,28.949804250618417,6.062752171545731,29.808173235668068,4.742261407933849
140,30.923377770565267,7.334906873036642,30.054917407380255,8.721726322173833,28.124833624100138,7.401351019501778,28.949804250618417,6.062752171545731
141,30.054917407380255,8.721726322173833,29.26258106935089,10.035280713073904,27.226859775726147,8.807039689135122,28.124833624100138,7.401351019501778
142,29.26258106935089,10.035280713073904,28.357450272107695,11.401623008790905,26.39090536290364,10.140681382618313,27.226859775726147,8.807039689135122
143,28.357450272107695,11.401623008790905,27.49307289388534,12.78402592241912,25.550091038541463,11.47224360506045,26.39090536290364,10.140681382618313
144,27.49307289388534,12.78402592241912,26.66480839129095,14.082793186602371,24.660520238283866,12.882214405318049,25.550091038541463,11.47224360506045
145,26.66480839129095,14.082793186602371,25.790700959793096,15.45957213597553,23.79856612944922,14.199518514152697,24.660520238283866,12.882214405318049
146,25.790700959793096,15.45957213597553,24.88269353873399,16.823241104867925,22.936281376671467,15.517153266930444,23.79856612944922,14.199518514152697
