segment_id,kappa,delta_kappa,delta_psi,d_left,d_right,d_inner,left_bd_idx,right_bd_idx,s_m,x_m,y_m
18,0.006878112642394905,-0.005949126079235704,-0.0015332843085151815,0.5185436580075186,1.062810151121625,1.062810151121625,60,1941,14.360615387267625,-61.03243577180911,31.244601625177463
19,0.0009289865631592015,-0.0035144628928983944,-0.008313071751762102,0.6099762645156058,0.9437282042480738,0.9437282042480738,64,1937,15.158427353226937,-60.69773066831447,30.520306787037512
20,-0.002585476329739193,0.0017706349692193442,-0.010309770188658973,0.7102381412415937,0.8845548663043715,0.7102381412415937,67,1934,15.956239319186249,-60.364149540996365,29.795527920058355
21,-0.0008148413605198491,0.009100622114904039,-0.0029033344546682827,0.7641838169279054,0.7698659403846708,0.7641838169279054,70,1931,16.75405128514556,-60.03658499443308,29.06795658848969
22,0.00828578075438419,0.015280008293598654,0.012202882593866704,0.8567519131901937,0.7256158257668025,0.7256158257668025,74,1927,17.551863251104873,-59.71644774737865,28.336838887710844
23,0.023565789047982844,0.016873085910982688,0.034572955123830074,0.931923102781961,0.6237634417215682,0.6237634417215682,76,1924,18.34967521706419,-59.39839928287715,27.60471367736685
24,0.04043887495896553,0.01236103706480448,0.059101113777995096,0.9924767277592581,0.5617968972853805,0.5617968972853805,80,1921,19.1474871830235,-59.071604112251336,26.876887973816793
25,0.05279991202377001,0.003197858580320158,0.06277229251153482,1.0341346402428622,0.5106805546942815,0.5106805546942815,84,1918,19.945299148982812,-58.720044236391914,26.161196474824877
26,0.05599777060409017,-0.007310075003073131,0.05178880443898226,1.046091609281489,0.4781904106880735,0.4781904106880735,87,1915,20.743111114942124,-58.32697643929243,25.46778784573961
27,0.04868769560101704,-0.01460932198730746,0.026651852636651263,1.062460368600124,0.4815109370134915,0.4815109370134915,91,1912,21.540923080901436,-57.891459624676045,24.800823758636653
28,0.03407837361370958,-0.016226401772877083,0.0020151765240630226,1.0028603744604483,0.5495772872576413,0.5495772872576413,95,1909,22.338735046860748,-57.421564832929725,24.156700971722664
29,0.017851971840832495,-0.012224745333916345,-0.006315762060717489,0.991091571366146,0.5550329119310508,0.5550329119310508,97,1906,23.136547012820063,-56.9339239663124,23.52435916743393
30,0.00562722650691615,-0.004926553951710464,-0.007184076277884088,0.9400960592775288,0.6101471050179142,0.6101471050179142,101,1903,23.934358978779375,-56.44525595293964,22.89331918437232
31,0.0007006725552056856,0.00191671966399089,-0.000892369300200091,0.8825093391923741,0.6728011118137338,0.6728011118137338,104,1900,24.732170944738687,-55.9607107438748,22.259372421991344
32,0.0026173922191965755,0.005554780189746648,0.007449677504185459,0.8156147824181601,0.7030244639812724,0.7030244639812724,107,1896,25.529982910698,-55.480747507171344,21.621981205747623
33,0.008172172408943223,0.005997633458854118,0.014372819806952375,0.769885067153689,0.7622953926547587,0.7622953926547587,110,1893,26.32779487665731,-55.00133392961807,20.984136233916804
34,0.014169805867797342,0.0044983995213526695,0.018711062053065053,0.7375957953055104,0.8187523851867281,0.8187523851867281,113,1890,27.125606842616623,-54.51724478048144,20.34996270225337
35,0.01866820538915001,0.0020478337423230387,0.018583174110468725,0.6918122776245652,0.8663120256795356,0.8663120256795356,116,1887,27.923418808575935,-54.02412380776273,19.722853775094915
