segment_id,s,ds,x,y,kappa,delta_kappa,width,d_left,d_right,delta_psi,psi,center_x,center_y,center_s,raceline_s,left_proj_x,left_proj_y,right_proj_x,right_proj_y,left_boundary_source,right_boundary_source,left_bd_idx,right_bd_idx
480,404.2504584778977,0.6506386798377548,-3.609057934741172,25.122026545788344,-0.2766145152051461,0.1946930510200224,2.3391108086658985,1.7546912537151915,0.584419554950707,-0.3404402811732553,3.305548782874051,-4.30997876778803,24.64514286518393,404.2504584778977,391.8553051243008,-3.436576239917656,23.372019330238416,-3.6125080717224023,25.713819330238415,inner,outer,366,1634
481,404.9010971577355,0.6001210500881484,-4.236046829274413,25.05550267923135,-0.15265771560020028,0.03611365975038846,2.4055340699727035,1.7492548462272888,0.6562792237454147,-0.24842701662371933,3.163066768518102,-4.952875393520516,24.744274323446557,404.9010971577355,392.48599387941925,-4.18367096035206,23.306969330238417,-4.1482299041960005,25.713819330238415,inner,outer,363,1636
482,405.5012182078236,0.477161656212445,-4.8156703498821125,25.096111628541532,-0.2314450038891143,-0.17654695993805972,2.331270177998725,1.6332256155262415,0.6980445624724838,-0.29064336400138535,3.0043536680300766,-5.535835814865283,24.884767435347317,405.5012182078236,393.0677139795751,-5.139061889661875,23.49204653326379,-4.657007144437145,25.77886933023842,inner,outer,359,1638
483,405.97837986403607,0.4088513123441544,-5.2675960049297,25.197966983237176,-0.3428487023914157,-0.2272670486945991,2.361641862149926,1.6012445075933315,0.760397354556595,-0.3166238432281788,2.8595621464063896,-5.979052843614586,25.059722558783307,405.97837986403607,393.5302448746364,-5.599211040342041,23.62694568394396,-5.122802393258965,25.94768703686087,inner,outer,357,1640
484,406.3872311763802,0.3631847505992596,-5.637775133923658,25.334319792811357,-0.43280655635811327,-0.20569492369796424,2.375104472334624,1.6151588612486936,0.7599456110859304,-0.3303686027709062,2.7324225523487615,-6.333261856987041,25.26249403971463,406.3872311763802,393.9265599619522,-6.279908414420376,23.85229305802229,-5.352811524217984,26.03906933023842,inner,outer,354,1641
485,406.7504159269795,0.3508779241039406,-5.947781246469655,25.49292583744849,-0.501652601450638,0.03751316222511199,2.3485866101292685,1.6010890863673333,0.7474975237619352,-0.3523278571771103,2.6123262289273064,-6.6120052617263925,25.4946108856422,406.7504159269795,394.2786087185533,-6.701952157332926,24.079186800934835,-5.5778257493659,26.142510392967814,inner,outer,352,1642
486,407.1012938510834,0.44474028611438143,-6.22895005721458,25.680116937793237,-0.40601980740307475,0.43973035497700325,2.341663075308317,1.5915452463414002,0.7501178289669168,-0.3519501094602361,2.488552470218304,-6.83996945806651,25.760278275736088,407.1012938510834,394.61872800135836,-7.1067278395234155,24.34776933023842,-5.786284723535573,26.28591936713748,inner,outer,350,1643
487,407.5460341371978,0.7937826176237195,-6.555284658121949,25.95767364113826,-0.15179512344516718,0.305658298147353,2.392627198381118,1.5699358806493868,0.8226913177317308,-0.2316237794047865,2.340894239966469,-7.065682035881984,26.142917135041337,407.5460341371978,395.0498316324405,-7.671324347137101,24.853408990739013,-5.9297346866365075,26.494361363135916,inner,outer,347,1644
488,408.3398167548215,1.058319483697744,-7.059792535512778,26.53678069874167,-0.02745500442996891,0.08314916307792668,2.3924578488064547,1.3728245264206822,1.0196333223857723,-0.11433034361314387,2.21047718219359,-7.401324609443286,26.861984156553675,408.3398167548215,395.8192752367903,-8.1414346866365,25.690735329195533,-6.254984686636504,27.163221150684315,inner,outer,343,1647
489,409.39813623851927,1.0855272789591481,-7.625269309515237,27.395732510046866,0.0022056162145818827,0.013713741774528382,2.3623032272526014,1.1720087501200962,1.1902944771325052,-0.044059288337306816,2.1356355073903335,-7.825077420080772,27.831690480488007,409.39813623851927,396.84514446094613,-8.623350246069222,26.781184889671135,-6.645284686636501,28.072997262237124,inner,outer,338,1651
490,410.4836635174784,1.0954625990992781,-8.173974887252102,28.294966448264518,0.0019451564772663464,-0.0009526115240706414,2.388220032973297,1.0706342521800463,1.3175857807932507,-0.0069146525315624315,2.1189170465461635,-8.276178589239239,28.81894786029387,410.4836635174784,397.897387233209,-9.031140435778113,27.64432507938003,-7.0472194524097205,28.977954096011644,inner,outer,334,1655
491,411.5791261165777,1.0602180557266934,-8.727593496835286,29.201274826309536,0.00012798012286200305,0.006095089922654575,2.3902057307966365,0.9309058584423441,1.4592998723542925,0.001678297516149064,2.1210171282675923,-8.72886039345584,29.816414670581914,411.5791261165777,398.95926068819176,-9.529378848885187,28.728013492487097,-7.436866164623652,29.88800080822557,inner,outer,329,1659
492,412.6393441723044,0.9697001569763302,-9.266993664722706,30.07684229284337,0.01508422391295754,0.025525385180204883,2.3751083532179527,0.7832148003685374,1.5918935528494154,0.002048173982102999,2.1224239885669998,-9.16421538586204,30.78299440036494,412.6393441723044,399.9869702702399,-9.897784686636498,29.607467214922096,-7.969921851007257,31.00650649460917,inner,outer,325,1664
493,413.6090443292807,0.844248481119223,-9.759596930495935,30.878383058404072,0.051942424386419744,0.04746891952478708,2.361694870786846,0.6717926621181729,1.689902208668673,0.009559510915903366,2.1250472725530796,-9.570484592208059,31.66328592519301,413.6090443292807,400.9269374191252,-10.29896193218677,30.47334657578868,-8.2715346866365,31.68515711621599,inner,outer,321,1667
494,414.45329281039994,0.7260164730632823,-10.193020929140568,31.572921524372564,0.10119040583681248,0.04561571147502906,2.362451967740436,0.5602201069180244,1.8022318608224115,0.031878921267779026,2.139232756027325,-9.961434826981474,32.41144958285935,414.45329281039994,401.74529949944366,-10.70675212189566,31.336486765497582,-8.6978008934978,32.58003553709973,inner,outer,317,1671
495,415.1793092834632,0.7535177393478989,-10.57931978743981,32.16167676066932,0.12357117747575863,0.010054901800769095,2.3530562312912293,0.5171136509450494,1.8359425803461797,0.06336710397790309,2.173570732987826,-10.352245215247333,33.02295531367569,415.1793092834632,402.4490548090819,-11.068684686636502,31.9606087011842,-9.082030519890608,33.224465163492525,inner,outer,314,1674
496,415.9328270228111,0.7450243479988785,-11.00567570091465,32.75373247030586,0.11606697705348515,-0.002922995508921114,2.3147751918425383,0.4579260254790909,1.8568491663634474,0.09423534084656705,2.230111869358738,-10.812910179286407,33.619012866184136,415.9328270228111,403.1794681394229,-11.296985127235104,32.382069770837006,-9.507484686636502,33.85181902616844,inner,outer,312,1677
497,416.67785137081,0.7201315477911407,-11.467259130648483,33.30739199188278,0.11919094568451473,0.014016575615266848,2.3409292606272536,0.4396703461407611,1.9012589144864926,0.12243117683882514,2.3104563948761623,-11.321527278064009,34.162961921665925,416.67785137081,403.90164850332246,-11.752318981894362,32.96750362549628,-10.131890635194395,34.664625278796294,inner,outer,309,1681
498,417.39798291860114,0.6991066078631434,-11.960516984314376,33.80017242880829,0.13660344545498,0.0097821362279185,2.3471855730543894,0.43924590243455003,1.9079396706198395,0.1427672636248678,2.4039924456054194,-11.850505512210997,34.6510489282938,417.39798291860114,404.59969933164274,-12.299647428786002,33.51483207238792,-10.700109446051895,35.23284408965381,inner,outer,306,1684
499,418.0970895264643,0.7409313386827989,-12.483097101962446,34.23048250359651,0.13307412666298474,0.004651633725461574,2.3266860967076837,0.4383673753589381,1.8883187213487456,0.1428679506199944,2.5068643724888817,-12.412553922985028,35.06623215447076,418.0970895264643,405.2773698880847,-12.683585763930909,33.83372040753282,-11.306433664677089,35.709068308279,inner,outer,304,1687
500,418.8380208651471,0.6172821211835071,-13.081224605611265,34.62544102399762,0.14330197453307753,0.012317094838132231,2.3396631864414337,0.4343562995611405,1.905306886880293,0.15358612428611887,2.603419447859187,-13.046280552255851,35.449678144471385,418.8380208651471,405.995582742781,-13.288072322473989,34.2430569660759,-12.14026956135573,36.28270420495764,inner,outer,301,1691
501,419.4553029863306,0.7298852285758244,-13.610722000787266,34.903617224143304,0.14980337065858573,-0.0018056252109647226,2.3558361988705987,0.4353930496717408,1.9204431491988578,0.1522929318681344,2.7090709231794348,-13.602395685836878,35.71608560864925,419.4553029863306,406.5939377201752,-13.71011606538653,34.469950708988435,-12.794936269296414,36.64221933023842,inner,outer,299,1694
502,420.1851882149064,0.6979478290757584,-14.265081815311891,35.172000311538575,0.14086949520296355,-0.008846719834432333,2.3669640169198676,0.42601100668357206,1.9409530102362957,0.1440166468845572,2.802292759605612,-14.287946103650848,35.96618424702098,420.1851882149064,407.30144316129747,-14.36576542875276,34.75576933023842,-13.704712380849225,37.032519330238415,inner,outer,296,1698
503,420.8831360439822,0.7024792496605414,-14.913733449555087,35.363514284725824,0.1371717316272013,-9.038634179614969e-05,2.37540921761083,0.41818692494439924,1.9572222926664307,0.15661429580684608,2.9083975592487223,-14.965114053793569,36.13476793060943,420.8831360439822,407.9779904695012,-15.052458109659398,34.96664275326131,-14.41538634189054,37.25682098549245,inner,outer,293,1701
504,421.5856152936427,0.6717440891583806,-15.58267098207823,35.484949026160166,0.1407429157223643,0.012464849323837398,2.377466091883864,0.39291295531623904,1.984553136567625,0.16208322503893227,3.0148946449439444,-15.660174731268329,36.234457112975285,421.5856152936427,408.6589302555825,-15.52110798870217,35.08101933023842,-15.401643869639765,37.46247851324168,inner,outer,291,1705
505,422.2573593828011,0.6915666681148878,-16.231025398118202,35.53131136150672,0.15430121848287992,0.0006130418308168284,2.34272048464433,0.38582709652512476,1.956893388119205,0.16245321290689677,3.124306486274082,-16.33000403157943,36.279972876853876,422.2573593828011,409.31007728461424,-16.268202709136567,35.14606933023842,-16.19470939759031,37.487869330238425,inner,outer,288,1708
506,422.948926050916,0.6869420660655692,-16.899947581197942,35.50772195817074,0.14157868224497538,-0.01494914338324758,2.418717596289437,0.43758813775200656,1.9811294585374304,0.15623995419677947,3.2295780012108586,-17.019524731399624,36.2339871030425,422.948926050916,409.9804390914216,-16.757284325348692,35.08101933023842,-16.99829214630069,37.487869330238425,inner,outer,286,1711
507,423.63586811698156,0.7225331387302845,-17.55796706955292,35.414257727433466,0.13369369376055715,-0.01072035362841413,2.357446733208249,0.40120739897370605,1.956239334234543,0.14540119367384385,3.333080689444434,-17.699295317663253,36.13653413101424,423.63586811698156,410.64631809602287,-17.504379045783075,35.01596933023842,-18.000656616199613,37.3210974006753,inner,outer,283,1715
508,424.35840125571184,0.7584430057941631,-18.23844763401334,35.24823584842334,0.1264686096190824,-0.003158813154208716,2.3542639823290936,0.42153078769934266,1.9327331946297508,0.12669999928935116,3.428233514179758,-18.39983352468159,35.96062648250439,424.35840125571184,411.3466968775476,-18.19758458175273,34.82081933023842,-18.721297058127696,37.120856958747225,inner,outer,280,1718
509,425.116844261506,0.6789277036190811,-18.933741210218056,35.00873706650137,0.129015566834164,0.007433764219733634,2.3454811802473152,0.4427383524725804,1.9027428277747347,0.12869722832687044,3.514966946170113,-19.115407498840522,35.7096088849125,425.116844261506,412.08188445550087,-18.863845525490017,34.560619330238424,-19.648371710349032,36.77231933023842,inner,outer,277,1722
510,425.7957719651251,0.7159367947106716,-19.53402161060304,34.740694513214294,0.13715368456921173,0.00656324782268146,2.343130169745787,0.4667894028256615,1.8763407669201255,0.13224035032815465,3.607547099479239,-19.73107301904488,35.42456973925481,425.7957719651251,412.73999483454827,-19.28906398519998,34.34139003167495,-20.31723149789743,36.44706933023842,inner,outer,275,1725
511,426.51170875983576,0.6875441660241108,-20.138885825365534,34.402685649819695,0.13817040821576243,-0.006215922503013921,2.3232961389422133,0.4833016105242924,1.8399945284179209,0.12774198362702388,3.6937684724426143,-20.351870011782612,35.0686338396274,426.51170875983576,413.43397952957474,-19.911409716509944,33.975169330238415,-21.173118424985475,35.92666933023841,inner,outer,272,1729
512,427.19925292585987,0.728744790229598,-20.689202360856008,34.02898427778439,0.1284297556828288,-0.028399893679109323,2.3545142982112317,0.5311033406308115,1.8234109575804203,0.1272827407253356,3.7813333410502024,-20.90714833488182,34.66388649271428,427.19925292585987,414.1004421725071,-20.29654158277178,33.65916243410314,-21.792144327573503,35.48110968930142,inner,outer,270,1732
