segment_id,abs_kappa_01,abs_delta_kappa_01,abs_delta_psi_01,inv_d_inner_01,D_prior_local
157,0.00019336413,0.002841124,0.0008507017,0.4051504,-0.12263743
158,0.0013022848,0.0017138916,0.0020027226,0.42356032,-0.114492595
159,0.0019719328,0.001101726,0.0011031483,0.40106297,-0.12343213
160,0.0024030255,0.00074778544,8.1993116e-05,0.42562765,-0.11394702
161,0.0026961907,0.00036857816,0.00087420206,0.44756466,-0.10488238
162,0.0028415823,0.00015445166,0.0017217724,0.42971152,-0.1115746
163,0.0029035304,0.00019839908,0.0017525969,0.45804757,-0.10028892
164,0.0028244562,0.00090973405,0.0017427588,0.46338046,-0.09796152
165,0.0024681813,0.0012016515,0.00018814974,0.4618153,-0.0993639
166,0.0019981486,0.00059905596,8.088035e-05,0.49605817,-0.08643944
167,0.0017629417,0.00067305355,0.00069811795,0.5048808,-0.08284798
168,0.0020269847,0.001528692,0.00080396805,0.50092304,-0.08382838
169,0.0026244621,0.0011948034,0.0026225043,0.53504336,-0.06919486
170,0.003091826,4.788612e-05,0.001243298,0.56898564,-0.05630565
171,0.0031122467,0.0017409918,0.0011343627,0.58870476,-0.04779118
172,0.0024320378,0.0023155913,0.0009354191,0.5811306,-0.05120633
173,0.0015279128,0.0013853349,0.0005727775,0.6154569,-0.038741723
174,0.0009863003,0.0005160624,0.00018611751,0.6439923,-0.028275074
175,0.00078343553,0.00021087297,0.0006977414,0.66581035,-0.019632617
176,0.0006995004,0.00017960694,0.000824505,0.67210543,-0.017144341
177,0.00077125145,0.0008772277,0.00038273324,0.7040712,-0.004199957
178,0.00042764377,0.0024219302,7.549765e-05,0.7310897,0.0068273973
179,0.00047434267,0.001888785,0.0003894778,0.15406644,-0.22035776
180,0.0012121451,0.00012759592,0.0022487391,0.1104151,-0.23631088
181,0.0012636281,0.0013596347,0.00086292875,0.110970676,-0.23612024
182,0.0007320307,0.0022523955,0.00079147104,0.08318561,-0.24667759
183,0.00010388961,0.0014754453,0.00066597696,0.8183773,0.04131762
184,0.0006806174,0.0010992294,0.0021088119,0.8499027,0.054784436
185,0.00025049763,0.0026861853,0.00052941067,0.8185848,0.04194646
186,0.0007544667,0.0037202812,0.002162845,0.020240545,-0.26910287
187,0.002205987,0.005575475,0.0017800094,0.03032732,-0.26372862
188,0.0043804594,0.009643722,0.0015641968,0.016925037,-0.26566324
189,0.008140292,0.016879648,0.0024830971,0.0,-0.26612806
190,0.014719901,0.026453845,0.0071136416,0.009496868,-0.25237504
191,0.025030486,0.033376537,0.015000765,0.019085646,-0.23543896
192,0.038038787,0.02929886,0.023444597,0.0060231686,-0.2288843
193,0.049458046,0.010472404,0.02976875,0.022464573,-0.21870983
194,0.05354081,0.018172741,0.030311784,0.063522995,-0.19671576
195,0.046457294,0.04625793,0.016988922,0.07424486,-0.19236022
196,0.028429233,0.060904875,0.0003737767,0.15315324,-0.17656346
197,0.0046933866,0.03791422,0.015070477,0.21559507,-0.173975
198,0.010039629,0.044809345,0.025488606,0.6209333,-0.0024252487
199,0.007380353,0.18449475,0.01356,0.3170815,-0.0748504
200,0.07927807,0.31167883,0.039545335,0.38408244,0.07047861
201,0.20073828,0.34167415,0.1456109,0.41461408,0.23020014
202,0.33388737,0.23386423,0.25960457,0.46357304,0.34783375
203,0.42502397,0.039823912,0.2704068,0.57083195,0.3846407
204,0.44054475,0.17072934,0.2013792,0.5791788,0.41860652
205,0.37401128,0.30977547,0.066876635,0.4832971,0.3418972
206,0.2532928,0.33281723,0.0022621655,0.42787033,0.21734202
207,0.123595126,0.23202403,0.015382944,0.41035914,0.0748926
208,0.033175677,0.08608359,0.017782014,0.377109,-0.06791436
209,0.00032851135,0.021990076,0.0006662388,0.5679499,-0.050401412
210,0.008199005,0.058584955,0.015474615,0.28062838,-0.13763595
211,0.031030798,0.052893486,0.03067761,0.22977573,-0.13593931
212,0.05164468,0.028702926,0.036906246,0.18722463,-0.14350279
213,0.06283171,0.0,0.029880023,0.17561829,-0.15326743
214,0.06282995,0.02263056,0.020912737,0.19245636,-0.14133312
215,0.054009266,0.03382562,0.015129748,0.21066135,-0.13898982
216,0.040825963,0.033257127,0.010105575,0.24165529,-0.13936847
217,0.027864197,0.028001878,0.0063718245,0.28404808,-0.13643327
218,0.016950358,0.02352087,0.0035785001,0.3316306,-0.12917148
219,0.0077827247,0.020813258,0.0015008106,0.3807605,-0.11892793
220,0.0002861973,0.0203925,0.00313702,0.44536024,-0.09884081
221,0.008234732,0.020888833,0.005885974,0.4018026,-0.108501874
222,0.016376683,0.020527365,0.009771586,0.35788584,-0.11802158
223,0.024377773,0.01835707,0.0131330695,0.2866093,-0.13929589
224,0.03153312,0.013710635,0.01840371,0.24027699,-0.151589
225,0.03687779,0.00548349,0.018116107,0.21516979,-0.16053858
226,0.03901642,0.0047683725,0.017549453,0.18258297,-0.17204764
227,0.037156466,0.011687909,0.015096642,0.15990996,-0.18054546
228,0.03260003,0.0067417836,0.008473744,0.16299856,-0.18734464
229,0.029971058,0.01413876,0.00718991,0.17297494,-0.1831607
230,0.035482567,0.043397922,0.008327143,0.18521792,-0.16233718
231,0.052396107,0.07387203,0.02697721,0.19829458,-0.12472221
232,0.08118514,0.09467305,0.05111342,0.24422365,-0.06590164
233,0.11808014,0.0894406,0.066139124,0.27199036,-0.021454023
234,0.1529361,0.050740916,0.09021196,0.35351127,0.033172917
235,0.17271113,0.0034439466,0.08716677,0.41370744,0.052897327
236,0.17136732,0.0414186,0.07061719,0.4823082,0.08765646
237,0.1552251,0.059205845,0.046326414,0.5655358,0.10526642
238,0.13215134,0.04913965,0.022746973,0.61182237,0.09199437
239,0.113000296,0.14612694,0.047659464,0.650115,0.1400841
240,0.16994642,0.8344008,0.02868196,0.71238714,0.4455992
241,0.49510664,0.95633537,0.07871478,0.7949474,0.6864097
242,0.8677838,0.29500332,0.7659999,0.89084613,0.82996297
243,0.98274565,0.04427238,1.0,0.54849243,0.8131824
244,1.0,0.17049088,0.15716769,0.43983787,0.67509663
245,0.9335595,0.85483557,0.06446117,0.7744816,0.8135399
246,0.6004359,1.0,0.048748188,0.6656656,0.7060007
247,0.21074314,0.33913657,0.019017648,0.5413537,0.23686324
248,0.07858289,0.0850611,0.0016016815,0.4426781,-0.012346148
249,0.045433577,0.035070326,0.0042034686,0.38783693,-0.07958959
250,0.031765226,0.0035553349,0.014175074,0.29669183,-0.13494028
251,0.030377986,0.016144333,0.018663023,0.2174514,-0.16034772
252,0.036671046,0.014397305,0.018940385,0.17235601,-0.17356023
253,0.042283308,7.446375e-05,0.020330407,0.106975436,-0.19946055
254,0.042314086,0.012063331,0.018165007,0.08629197,-0.20360449
255,0.037611354,0.018654197,0.0128073655,0.04626578,-0.22201009
256,0.030340219,0.021347528,0.007704519,0.03187418,-0.2338958
257,0.02201952,0.020212062,0.003786617,0.032159626,-0.24197465
258,0.014141299,0.015383473,0.0023079177,0.023621917,-0.25346392
259,0.008144738,0.009897832,0.0011761049,0.027458847,-0.2589854
260,0.0042858818,0.005827433,0.00045110457,0.024609089,-0.26470917
261,0.0020132235,0.0031012048,0.0003183515,0.033874452,-0.26401678
262,0.000802952,0.0011048134,0.00059455883,0.034805894,-0.26521063
263,0.0003706562,0.00016050473,0.00011705072,0.0236817,-0.27019045
264,0.00030634907,6.841811e-06,0.0005320645,0.04335791,-0.26282966
265,0.00031077515,0.00015297103,0.00060241984,0.03532225,-0.2657356
266,0.00037214646,0.000516715,0.00016786961,0.044609845,-0.26226017
267,0.00057526556,0.00078432565,0.0004446171,0.04891616,-0.26030096
268,0.00088267005,0.0008022319,0.0002518306,0.03559208,-0.26509893
269,0.0011970527,0.0005574107,0.0012073315,0.040394545,-0.26281333
270,0.0014160305,0.00013069728,0.0013425639,0.05244714,-0.25826496
271,0.0014687218,6.21841e-05,0.00061090174,0.040572822,-0.26295114
272,0.0014427294,0.00013627896,0.00027246075,0.039795756,-0.2633582
273,0.0014975959,0.00013124188,2.6721613e-05,0.058793604,-0.2563248
274,0.0015504996,8.885962e-05,0.0013750204,0.05287224,-0.25800934
275,0.001514112,0.00075447286,0.0017127502,0.07004058,-0.25123918
276,0.0012183407,0.001978404,0.00023963918,0.06766361,-0.25244462
277,0.0004456145,0.0028696875,0.00032735133,0.085689485,-0.24589448
278,0.000630859,0.0019086098,0.0018013308,0.80758876,0.038056314
279,0.001376387,0.00010125541,0.0014198864,0.78579843,0.029071303
280,0.0014176052,0.0013148056,3.0222652e-06,0.7945269,0.032511037
281,0.0009034774,0.0015952876,0.00035381454,0.792022,0.03135148
282,0.0002800482,0.0006187407,0.000830092,0.75257385,0.0148825385
283,3.71706e-05,0.0006425971,0.00011607039,0.75139225,0.013939729
284,0.00028934484,0.0012667342,0.0008529242,0.73893714,0.009704464
285,0.00078473974,0.001410775,0.00080397207,0.7568037,0.017283984
286,0.001336266,0.0014695348,0.00063250854,0.7361716,0.009428728
287,0.0019106903,0.0013887052,0.00030554447,0.72696733,0.0060436884
288,0.0024536161,0.0012799894,0.0012959855,0.7182735,0.0033532255
289,0.0029541764,0.0015625684,0.0019950466,0.70371944,-0.0016752763
290,0.0035648553,0.0009515164,0.0017729471,0.72263795,0.0060473536
291,0.0039374125,0.0009753607,0.0017241053,0.7068654,2.643466e-05
292,0.0035555633,0.0023758074,0.0019896422,0.7220534,0.006462454
293,0.0026279725,0.0019395101,6.9771915e-05,0.69890964,-0.004479468
294,0.0018704031,0.0002667548,0.00044909795,0.7198205,0.0027613868
295,0.0017646911,0.0016126768,0.00037330887,0.71179223,-2.6404858e-05
296,0.0023948967,0.0020617594,0.00094886305,0.73360753,0.009613426
297,0.0032001059,8.778126e-05,0.0038504147,0.7519413,0.017960524
298,0.0031641384,0.0029525014,0.0023836202,0.7313509,0.010256318
299,0.002011815,0.004763535,0.00040336495,0.7437781,0.014237038
300,0.00015374803,0.004552634,0.0022516374,0.7805131,0.028093126
301,0.0015785546,0.002546905,0.0031882518,0.1136024,-0.23356001
302,0.0025728205,4.0334005e-05,0.00034136762,0.092215,-0.24289893
303,0.0025553429,0.002053231,0.0003760603,0.077031374,-0.2478501
304,0.0017534572,0.0017950737,0.00021734199,0.062023938,-0.25423208
305,0.0010521733,0.0002874349,0.0003997315,0.056389987,-0.25735793
306,0.00093840255,0.00018900336,0.0007055571,0.059562147,-0.25618026
307,0.0010138154,0.0005560163,0.001156161,0.046096087,-0.2608452
308,0.0007953809,0.0007300361,0.00013003635,0.053180695,-0.25868338
309,0.0005091325,0.00058952626,0.0006005369,0.047599375,-0.2608557
310,0.00027763954,4.292232e-05,3.240893e-05,0.05881709,-0.25725847
311,0.00025915322,0.0008745015,1.4581483e-05,0.05405146,-0.25874782
312,0.0006016985,0.0011032281,0.00095308357,0.05794114,-0.25660354
313,0.0010333766,0.00059762225,0.0008011506,0.06060767,-0.2555299
314,0.0012680244,2.162553e-05,0.00047765704,0.07979381,-0.24850407
315,0.0012578373,0.0007426523,0.00039942056,0.098902464,-0.24108464
